Year,Competition,Location,Gender,Athlete,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Total Time,Rank,Faults,NOTES & COMMENTS
2026,AO,Penrith,W,FOX Noemie,8.159501134,3.839798866,11.35958889,16.03874444,11.75967778,7.169911111,7.329211111,n/a,n/a,65.65643333,5,,
2026,AO,Penrith,W,ZWOLINSKA Klaudia,8.249206349,3.589810204,10.98947778,23.53927778,10.98993333,7.388911111,8.268811111,n/a,n/a,73.01542766,14,,
2026,AO,Penrith,W,BEKOVA Katerina,7.939773243,3.549972336,11.15871111,14.34961111,11.67981111,7.959830839,7.259070295,n/a,n/a,63.89678005,3,,
2026,AO,Penrith,W,O'CALLAGHAN Georgie,8.009478458,4.269553515,11.26911111,14.55971111,15.46883333,9.749321542,70.11,n/a,n/a,70.11,11,,
2026,AO,Penrith,W,KNEBLOVA Tereza,8.159492517,3.539766667,10.16961111,14.33647778,11.01992222,7.599911111,7.089266667,n/a,n/a,61.91444807,1,,
2025,WCh,Penrith,W,WOODS Kimberley,7.67472,11.04264,5.89984,12.6816,23.32544,4.91132,n/a,n/a,n/a,65.53556,15,,
2025,WCh,Penrith,W,HUG Angele,0,0,0,0,0,0,n/a,n/a,n/a,0,6,,
2025,WCh,Penrith,W,PRIGENT Camille,7.212541667,11.53706833,6.277756667,13.39589167,23.36166167,5.303478333,n/a,n/a,n/a,67.08839833,19,,
2025,WCh,Penrith,W,FOX Noemie,7.36636,11.05828,5.99776,13.18572,20.43752,5.23948,n/a,n/a,n/a,63.28512,5,,
2025,WCh,Penrith,W,MARX Alena,7.30236,8.80092,6.3036,13.57736,20.27772,5.8354,n/a,n/a,n/a,62.09736,1,,
2025,WCh,Penrith,W,CHOURRAUT Maialen,7.782913333,11.72753667,6.20573,13.70778167,21.545875,5.283626667,n/a,n/a,n/a,66.25346333,17,,
2025,WCh,Penrith,W,FUNK Ricarda,0,0,0,0,0,0,n/a,n/a,n/a,0,34,,
2025,WCh,Penrith,W,LEIBFARTH Evy,7.741516667,9.501276667,6.377845,13.70585,22.097705,4.803751667,n/a,n/a,n/a,64.227945,11,,
2025,WCh,Penrith,W,VUITTON Emma,7.649361667,9.148846667,6.847865,13.51781833,20.61988167,5.693623333,n/a,n/a,n/a,63.47739667,7,,
2025,WCh,Penrith,W,SETCHELL Nikita,7.133296667,9.278651667,7.481515,13.32938333,20.63182667,5.523681667,n/a,n/a,n/a,63.378355,8,,
2025,WCh,Penrith,W,ZWOLINSKA Klaudia,7.60232,8.97068,7.11164,13.3174,21.66768,5.47352,n/a,n/a,n/a,64.14324,10,,
2025,WCh,Penrith,W,KNEBLOVA Tereza,7.847226667,9.715295,6.2276,14.21569667,21.2237,6.179765,n/a,n/a,n/a,65.40928333,14,,
2025,WCh,Penrith,W,XIE Xueting,0,0,0,0,0,0,n/a,n/a,n/a,0,38,,
